,9E_samp.mean,9E_samp.sd,AA_samp.mean,AA_samp.sd,AQ_samp.mean,AQ_samp.sd,B6_samp.mean,B6_samp.sd,CO_samp.mean,CO_samp.sd,DH_samp.mean,DH_samp.sd,DL_samp.mean,DL_samp.sd,EA_samp.mean,EA_samp.sd,EV_samp.mean,EV_samp.sd,F9_samp.mean,F9_samp.sd,FL_samp.mean,FL_samp.sd,HA_samp.mean,HA_samp.sd,HP_samp.mean,HP_samp.sd,ML (1)_samp.mean,ML (1)_samp.sd,MQ_samp.mean,MQ_samp.sd,NW_samp.mean,NW_samp.sd,OH_samp.mean,OH_samp.sd,OO_samp.mean,OO_samp.sd,PA (1)_samp.mean,PA (1)_samp.sd,PI_samp.mean,PI_samp.sd,PS_samp.mean,PS_samp.sd,TW_samp.mean,TW_samp.sd,TZ_samp.mean,TZ_samp.sd,UA_samp.mean,UA_samp.sd,US_samp.mean,US_samp.sd,VX_samp.mean,VX_samp.sd,WN_samp.mean,WN_samp.sd,XE_samp.mean,XE_samp.sd,YV_samp.mean,YV_samp.sd
1989,0,0,7.527148172,0.642696339,0,0,0,0,5.310139097,0.909173282,0,0,8.056163729,0.456339842,7.100820977,1.146589228,0,0,0,0,0,0,0,0,5.909090933,0.240812058,0,0,0,0,4.620901401,0.534849653,0,0,0,0,11.44793992,0.804649517,13.6574991,0.587022089,0,0,9.91965185,0.774723498,0,0,10.60498332,0.717185615,8.88113287,0.533626152,0,0,8.866900071,0.469297561,0,0,0,0
1990,0,0,6.509445495,0.67186641,0,0,0,0,9.675193197,1.048770722,0,0,9.267472518,0.68289374,6.381858628,0.824082392,0,0,0,0,0,0,0,0,6.108020778,0.246893603,0,0,0,0,4.403072495,0.773765239,0,0,0,0,2.215683514,0.718172394,0,0,0,0,7.878976637,0.660389238,0,0,7.494966551,0.604656147,7.829949197,0.716888372,0,0,5.585019342,0.423444055,0,0,0,0
1991,0,0,2.799068574,1.197537343,0,0,0,0,4.800424753,0.583401204,0,0,7.392004339,0.44570062,0,0,0,0,0,0,0,0,0,0,6.810280877,0.398722202,6.882221009,0.869772776,0,0,1.529612877,0.48133022,0,0,0,0,-0.094207012,0.519357739,0,0,0,0,6.985673081,0.482246427,0,0,7.935671082,0.67580203,4.15031795,0.337693261,0,0,7.137987818,0.436406097,0,0,0,0
1992,0,0,4.64905631,0.46219896,0,0,0,0,6.554385629,0.58785235,0,0,6.825966464,0.337004529,0,0,0,0,0,0,0,0,0,0,2.12825346,0.472000615,0,0,0,0,0.211203972,0.505437354,0,0,0,0,0,0,0,0,0,0,2.946269943,0.406854958,0,0,3.667331481,0.481496273,4.419800602,0.232395916,0,0,0.691946931,0.211136763,0,0,0,0
1993,0,0,7.361777074,0.626902782,0,0,0,0,4.957618372,0.745712733,0,0,10.1759287,0.524848159,0,0,0,0,0,0,0,0,0,0,4.617021277,0.429422064,0,0,0,0,3.677565122,0.75320724,0,0,0,0,0,0,0,0,0,0,2.347923421,0.388439271,0,0,6.521858275,0.557088392,5.157753332,0.708441521,0,0,3.576161707,0.346111078,0,0,0,0
1994,0,0,6.528347659,0.725219451,0,0,0,0,10.77727653,1.46068227,0,0,6.747630611,0.528748168,0,0,0,0,0,0,0,0,0,0,8.271529889,0.545980948,0,0,0,0,2.791507101,0.6778095,0,0,0,0,0,0,0,0,0,0,8.089417275,1.016816336,0,0,5.750614626,0.659135597,6.504310928,0.627931239,0,0,2.925478348,0.229289818,0,0,0,0
1995,0,0,7.316736636,0.593797637,0,0,0,0,8.170797721,0.897138572,0,0,6.938175746,0.539088512,0,0,0,0,0,0,0,0,0,0,9.198984772,0.496629682,0,0,0,0,3.753970107,0.55045613,0,0,0,0,0,0,0,0,0,0,9.321378992,0.77461816,0,0,5.244738569,0.696833665,5.269589706,0.402904706,0,0,6.283095723,0.340316948,0,0,0,0
1996,0,0,11.39690774,1.053436621,0,0,0,0,10.26921529,1.310614257,0,0,13.33351195,0.938387361,0,0,0,0,0,0,0,0,0,0,12.82215447,0.8403565,0,0,0,0,6.692187866,1.005019016,0,0,0,0,0,0,0,0,0,0,12.43864704,1.025150634,0,0,9.895954055,0.928770179,9.763685917,0.711055416,0,0,6.03051882,0.485644206,0,0,0,0
1997,0,0,7.144705137,1.259201019,0,0,0,0,8.262238701,1.298251423,0,0,10.67227328,0.873645253,0,0,0,0,0,0,0,0,0,0,8.918016194,0.690640428,0,0,0,0,10.91409578,1.28339055,0,0,0,0,0,0,0,0,0,0,7.160549631,1.000237963,0,0,7.447977313,0.616371649,6.44402201,0.716601919,0,0,5.792089249,0.35604528,0,0,0,0
1998,0,0,4.647073673,1.054234202,0,0,0,0,9.936192224,1.486695268,0,0,8.557537173,0.941300815,0,0,0,0,0,0,0,0,0,0,14.07048286,1.069927055,0,0,0,0,11.01234022,2.356367466,0,0,0,0,0,0,0,0,0,0,11.83682473,1.286144084,0,0,12.86572541,1.296456697,6.938176042,0.8807889,0,0,6.834181078,0.447179781,0,0,0,0
1999,0,0,10.91560476,1.377910251,0,0,0,0,8.014095476,1.72448372,0,0,7.42315102,0.915061135,0,0,0,0,0,0,0,0,0,0,11.94688458,0.932711791,0,0,0,0,4.471647629,0.935246996,0,0,0,0,0,0,0,0,0,0,10.62523297,1.613097044,0,0,10.8056663,1.24039381,11.20600072,1.178918747,0,0,7.460992908,0.654304911,0,0,0,0
2000,0,0,10.55804086,2.268371527,3.301215663,0.15522541,0,0,6.332138446,1.286909822,0,0,6.439587083,0.84709383,0,0,0,0,0,0,0,0,0,0,16.58508403,1.472649375,0,0,0,0,4.490012293,1.020145928,0,0,0,0,0,0,0,0,0,0,8.481469239,1.120454782,0,0,17.40401028,1.628906528,9.593018435,1.152461719,0,0,9.801015228,0.742951472,0,0,0,0
2001,0,0,5.148668957,1.112246331,4.556232379,0.576239883,0,0,5.176899394,1.317002092,0,0,7.113629832,1.117952098,0,0,0,0,0,0,0,0,0,0,10.98241986,1.076658257,0,0,12.02788824,1.228729009,2.650100951,0.877513723,0,0,0,0,0,0,0,0,0,0,5.621480112,0.763386408,0,0,9.823962465,1.696871005,2.823698938,0.67205255,0,0,6.4419778,0.533182174,0,0,0,0
2002,0,0,2.362002203,1.009602724,0,0,0,0,0.445446199,0.500841576,0,0,8.542148697,0.996883241,0,0,0,0,0,0,0,0,0,0,-0.473259334,0.45009419,0,0,4.675246326,1.001823918,6.487063874,1.086828967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.188558869,0.725663931,4.57904198,0.902783666,0,0,3.769617706,0.451169674,0,0,0,0
2003,0,0,0.023620571,0.657878284,0,0,0.376257545,0.507227619,2.908733179,1.501754966,8.152136594,1.406394928,3.46861099,0.774795132,0,0,8.985558115,1.60783901,0,0,6.266634565,1.061253256,-0.51048406,0.290790481,4.075834176,0.955245962,0,0,2.312360373,1.286383471,0.984253586,0.720684653,0,0,2.731864655,0.429733433,0,0,0,0,0,0,0,0,4.497708981,1.118190656,-1.790711249,0.615644211,4.651432817,0.830678367,0,0,2.610547667,0.506365054,5.734341504,1.201189948,0,0
2004,0,0,10.59890617,1.840012244,0,0,0.198066396,0.57609513,10.31312583,1.404027634,9.174469284,1.937663906,9.547072271,1.371795126,0,0,1.387787557,0.745181025,0,0,8.704061122,1.264311603,-0.94872581,0.421443391,8.499492386,1.087306723,0,0,10.92886101,1.434380773,4.977848909,0.755301248,2.414533532,0.792150719,5.312016545,0.730886914,0,0,0,0,0,0,0,0,5.715175155,1.458929458,6.394514052,1.115144502,2.056103039,0.809616633,0,0,5.797379032,0.687956818,9.011622131,1.009486353,0,0
2005,0,0,4.685769081,0.951212066,0,0,11.24201469,1.748812435,8.480663103,1.258331878,3.001260264,0.930303073,6.978728288,1.01552592,0,0,9.852365642,1.732024499,4.405215647,0.702592978,14.06596679,1.991390351,-2.658001457,0.14979479,2.964086692,0.608704857,0,0,7.082324402,0.957327433,7.578022613,1.350562509,3.545413997,0.821590184,3.601825719,0.840782507,0,0,0,0,0,0,0,0,3.740074555,1.133990234,6.768888271,1.108854993,7.763043921,1.029851122,0,0,5.555891239,0.689339183,7.791022058,1.298584254,0,0
2006,0,0,9.608471556,1.418590755,1.793164144,0.327115099,7.225129951,1.161476142,13.56372166,1.996655227,0,0,3.794888731,0.854620867,0,0,11.63340962,1.86831767,4.567083624,0.406959125,10.58380158,1.628052939,-1.011038251,0.713213248,0,0,0,0,8.154264582,0.879633887,6.139676343,0.95296483,4.814678892,0.935511622,5.080129298,0.740186465,0,0,0,0,0,0,0,0,15.1588469,1.777791928,11.55045522,1.419989237,5.39520071,0.810554721,0,0,4.412121212,0.666080962,10.30481457,1.456887587,10.80510226,2.096273529
2007,7.522333736,1.910682649,17.17355484,2.490656471,-0.869807506,0.427485292,16.30942674,2.914558804,13.05320284,1.853735646,0,0,6.698803053,1.098971041,0,0,14.51137931,1.908817909,9.167507568,1.479313732,5.968489467,1.009093515,0.383359062,0.804016276,0,0,0,0,16.50446546,2.609648398,13.22398753,2.143246927,14.16622225,1.423453648,12.20500186,1.739272738,0,0,0,0,0,0,0,0,0,0,12.62227427,1.729553822,12.84280105,1.082389106,0,0,4.360688956,0.84262494,13.87163178,2.447220971,12.51369779,1.682774155
2008,8.113663092,1.606956923,17.09773384,1.733612148,-2.255745108,0.305096698,11.53879677,2.13867882,10.26011762,1.492689949,0,0,6.218451124,1.174234143,0,0,9.133170951,1.320889233,7.203556892,0.687157539,11.51102445,1.631341338,0.124408835,0.940126498,0,0,0,0,13.47144033,2.019888994,10.89588637,2.122993763,11.21143851,1.423236038,8.394331171,1.47587072,0,0,0,0,0,0,0,0,0,0,17.4924487,2.576891076,2.997032982,1.158513707,0,0,6.553535354,0.929238924,11.9612193,1.544365826,16.01923319,2.378333495
2009,0.376342432,0.858251488,8.665521757,1.702356723,0,0,8.625426733,1.880037759,9.572875409,1.726630733,0,0,5.427060342,1.056398638,0,0,15.49634562,2.163005944,7.365558912,0.768833431,9.23369981,1.553024799,1.208581625,1.224783777,0,0,0,0,9.249569789,1.923562415,7.154004487,2.331825638,9.96720731,1.315810659,2.777653707,0.750758269,0,0,0,0,0,0,0,0,0,0,3.555817241,1.657108092,4.847086649,1.038142381,0,0,3.048879837,0.939305937,6.479959916,1.79139631,6.345102044,1.888545956
2010,5.116398914,1.215846021,5.290592449,1.352643519,0,0,3.573730095,1.805425341,2.076606959,0.950311535,0,0,5.007450835,1.507834708,0,0,6.331640597,1.699175224,7.148926768,1.311731995,5.141744587,1.51450174,0.219508024,0.120844982,0,0,0,0,7.5617983,1.251364783,0,0,6.939339689,2.074103761,6.514259626,1.226114804,0,0,0,0,0,0,0,0,0,0,-1.783995247,1.237896965,-0.170267285,0.792615559,0,0,4.557248488,0.873715318,9.648501772,1.498617412,2.790321863,1.014668127
2011,0,0,7.847649947,1.575240894,0,0,10.71395467,1.852328959,9.319681015,1.418815775,0,0,3.871412141,1.199764254,0,0,11.10638198,1.89415149,9.076198346,1.778574998,4.068317992,1.527985646,1.350545926,0.499840459,0,0,0,0,8.407444156,2.550324942,0,0,0,0,7.136477262,1.127511877,0,0,0,0,0,0,0,0,0,0,3.745788421,1.431532173,3.355552784,0.725617978,0,0,7.92855729,1.294845129,11.4719487,1.658226991,2.803879011,0.845290692
2012,0,0,2.617739562,2.356164422,0,0,1.143524218,1.098336018,0,0,0,0,-0.301336144,2.0573458,0,0,7.776575031,1.904148445,7.065387617,0.935554509,-1.477158418,0.641487511,2.252079948,4.706969197,0,0,0,0,-0.784387822,0.727795984,0,0,0,0,2.786205195,0.902320741,0,0,0,0,0,0,0,0,0,0,7.767035693,1.902144997,-1.865005909,0.961710482,2.828313253,1.494770737,1.654740656,0.738800144,0,0,0.649005678,0.835573492
2013,3.812550114,1.672226362,7.560876042,3.335441805,0,0,11.1706157,2.142063101,0,0,0,0,-0.603288486,0.733789431,0,0,14.06444687,2.535239473,13.29188214,1.737013604,4.118153623,1.222255447,3.116345454,2.611097463,0,0,0,0,12.38277789,1.994089161,0,0,0,0,5.305971082,1.255977862,0,0,0,0,0,0,0,0,0,0,3.596260632,1.334333352,2.320135301,0.618066775,4.816816817,1.78338902,4.980668421,0.838520327,0,0,10.6232691,1.720173577
